#worker thread, throughput, min, max
#./cicada.exe 500000 10 thread 50 0 ON OFF OFF 2400 5 2 E 10 3
1 630790.40000000000000000000 628709 632365
15 6556675.20000000000000000000 6356290 6730705
31 9888280.80000000000000000000 9638025 10080749
47 10182899.40000000000000000000 9923033 10367684
63 12293235.00000000000000000000 11934947 12481042
79 14543858.60000000000000000000 14305115 14641849
95 16753016.20000000000000000000 16693261 16803113
111 19135615.40000000000000000000 19090243 19207396
127 20766099.00000000000000000000 20557739 21144311
143 21900080.00000000000000000000 21750795 22032631
159 23119133.00000000000000000000 23053557 23193778
175 24129878.20000000000000000000 23814923 24338718
191 25370419.40000000000000000000 25211821 25439181
207 26480694.20000000000000000000 26230185 26773014
223 27781805.80000000000000000000 27631331 28036034
